Date,S,nom_return,real_return,log_return,FED,delta_fed,IP
31-Jan-80,1.61,0,0,0,13.82,0,51.7
29-Feb-80,1.52,-0.06,-0.06,-0.03,14.13,0.31,51.5
31-Mar-80,1.42,-0.06,-0.06,-0.03,17.19,3.06,50.5
30-Apr-80,1.51,0.06,0.06,0.03,17.61,0.42,49.2
30-May-80,1.63,0.08,0.08,0.03,10.98,-6.63,48.6
30-Jun-80,1.67,0.03,0.03,0.01,9.47,-1.51,48.3
31-Jul-80,1.67,0,0,0,9.03,-0.44,48.5
29-Aug-80,1.7,0.02,0.02,0.01,9.61,0.58,49.2
30-Sep-80,1.67,-0.02,-0.02,-0.01,10.87,1.26,49.9
31-Oct-80,1.68,0,0,0,12.81,1.94,50.7
28-Nov-80,1.82,0.09,0.09,0.04,15.85,3.04,51
31-Dec-80,1.95,0.07,0.07,0.03,18.9,3.05,50.7
30-Jan-81,2.02,0.04,0.04,0.02,19.08,0.18,50.5
27-Feb-81,2.03,0,0,0,15.93,-3.15,50.7
31-Mar-81,2.14,0.06,0.06,0.02,14.7,-1.23,50.5
30-Apr-81,2.23,0.04,0.04,0.02,15.72,1.02,50.8
29-May-81,2.26,0.01,0.01,0.01,18.52,2.8,51.1
30-Jun-81,2.31,0.02,0.02,0.01,19.1,0.58,51.4
31-Jul-81,2.05,-0.11,-0.11,-0.05,19.04,-0.06,51.4
31-Aug-81,1.99,-0.03,-0.03,-0.01,17.82,-1.22,51.1
30-Sep-81,1.93,-0.03,-0.03,-0.01,15.87,-1.95,50.7
30-Oct-81,2.17,0.12,0.12,0.05,15.08,-0.79,50.2
30-Nov-81,2.24,0.03,0.03,0.01,13.31,-1.77,49.6
31-Dec-81,2.25,0,0,0,12.37,-0.94,48.6
29-Jan-82,2.23,-0.01,-0.01,0,13.22,0.85,49.6
26-Feb-82,2.34,0.05,0.05,0.02,14.78,1.56,49.2
31-Mar-82,2.22,-0.05,-0.05,-0.02,14.68,-0.1,48.8
30-Apr-82,2.41,0.08,0.08,0.04,14.94,0.26,48.5
31-May-82,2.5,0.04,0.04,0.02,14.45,-0.49,48.3
30-Jun-82,2.43,-0.03,-0.03,-0.01,14.15,-0.3,48.2
30-Jul-82,2.54,0.04,0.04,0.02,12.59,-1.56,47.8
31-Aug-82,2.58,0.02,0.02,0.01,10.12,-2.47,47.6
30-Sep-82,2.85,0.1,0.1,0.04,10.31,0.19,47.2
29-Oct-82,2.64,-0.07,-0.07,-0.03,9.71,-0.6,47
30-Nov-82,2.85,0.08,0.08,0.03,9.2,-0.51,46.6
31-Dec-82,3.01,0.06,0.06,0.02,8.95,-0.25,47.5
31-Jan-83,3.06,0.01,0.01,0.01,8.68,-0.27,47.2
28-Feb-83,2.9,-0.05,-0.05,-0.02,8.51,-0.17,47.7
31-Mar-83,2.93,0.01,0.01,0.01,8.77,0.26,48.2
29-Apr-83,2.95,0.01,0.01,0,8.8,0.03,48.6
31-May-83,3.06,0.04,0.04,0.02,8.63,-0.17,48.8
30-Jun-83,2.95,-0.03,-0.03,-0.02,8.98,0.35,49.6
29-Jul-83,2.94,0,0,0,9.37,0.39,50.2
31-Aug-83,2.65,-0.1,-0.1,-0.05,9.56,0.19,50.9
30-Sep-83,2.71,0.02,0.02,0.01,9.45,-0.11,51.3
31-Oct-83,2.87,0.06,0.06,0.02,9.48,0.03,51.5
30-Nov-83,2.71,-0.06,-0.05,-0.02,9.34,-0.14,51.7
30-Dec-83,2.54,-0.06,-0.06,-0.03,9.47,0.13,52.8
31-Jan-84,2.52,-0.01,-0.01,0,9.56,0.09,53.1
29-Feb-84,2.3,-0.09,-0.09,-0.04,9.59,0.03,53.3
30-Mar-84,2.17,-0.06,-0.06,-0.03,9.91,0.32,53.6
30-Apr-84,2.28,0.05,0.05,0.02,10.29,0.38,53.9
31-May-84,2.17,-0.05,-0.05,-0.02,10.32,0.03,54.1
29-Jun-84,1.97,-0.09,-0.09,-0.04,11.06,0.74,54.2
31-Jul-84,1.83,-0.07,-0.07,-0.03,11.23,0.17,54.3
31-Aug-84,2.02,0.11,0.11,0.04,11.64,0.41,54.2
28-Sep-84,2.09,0.03,0.03,0.01,11.3,-0.34,54.1
31-Oct-84,1.99,-0.05,-0.05,-0.02,9.99,-1.31,54.3
30-Nov-84,2.17,0.09,0.09,0.04,9.43,-0.56,54.4
31-Dec-84,2.23,0.03,0.03,0.01,8.38,-1.05,54.2
31-Jan-85,2.32,0.04,0.04,0.02,8.35,-0.03,54.5
28-Feb-85,2.4,0.04,0.04,0.02,8.5,0.15,54.5
29-Mar-85,2.49,0.03,0.03,0.01,8.58,0.08,54.4
30-Apr-85,2.62,0.05,0.05,0.02,8.27,-0.31,54.5
31-May-85,2.87,0.1,0.09,0.04,7.97,-0.3,54.5
28-Jun-85,2.92,0.02,0.02,0.01,7.53,-0.44,54.2
31-Jul-85,2.94,0.01,0.01,0,7.88,0.35,54.4
30-Aug-85,2.89,-0.02,-0.02,-0.01,7.9,0.02,54.6
30-Sep-85,2.84,-0.02,-0.02,-0.01,7.92,0.02,54.4
31-Oct-85,2.83,0,0,0,7.99,0.07,54.6
29-Nov-85,3.05,0.08,0.08,0.03,8.05,0.06,55.2
31-Dec-85,3.23,0.06,0.06,0.02,8.27,0.22,55.4
31-Jan-86,3.21,0,0,0,8.14,-0.13,55
28-Feb-86,3.17,-0.01,-0.01,-0.01,7.86,-0.28,54.7
31-Mar-86,3.3,0.04,0.04,0.02,7.48,-0.38,54.7
30-Apr-86,3.89,0.18,0.18,0.07,6.99,-0.49,54.8
30-May-86,4.17,0.07,0.07,0.03,6.85,-0.14,54.6
30-Jun-86,4.37,0.05,0.05,0.02,6.92,0.07,55
31-Jul-86,4.27,-0.02,-0.02,-0.01,6.56,-0.36,54.9
29-Aug-86,4.44,0.04,0.04,0.02,6.17,-0.39,55
30-Sep-86,4.06,-0.09,-0.09,-0.04,5.89,-0.28,55.2
31-Oct-86,4.22,0.04,0.04,0.02,5.85,-0.04,55.5
28-Nov-86,4.31,0.02,0.02,0.01,6.04,0.19,56
31-Dec-86,4.29,0,0,0,6.91,0.87,55.8
30-Jan-87,4.53,0.05,0.05,0.02,6.43,-0.48,56.5
27-Feb-87,5.11,0.13,0.13,0.05,6.1,-0.33,56.6
31-Mar-87,5.63,0.1,0.1,0.04,6.13,0.03,56.9
30-Apr-87,5.51,-0.02,-0.02,-0.01,6.37,0.24,57.3
29-May-87,5.32,-0.03,-0.03,-0.01,6.85,0.48,57.6
30-Jun-87,5.67,0.07,0.07,0.03,6.73,-0.12,58
31-Jul-87,5.82,0.03,0.03,0.01,6.58,-0.15,58.4
31-Aug-87,6.29,0.08,0.08,0.03,6.73,0.15,58.5
30-Sep-87,5.91,-0.06,-0.06,-0.03,7.22,0.49,59.4
30-Oct-87,5.18,-0.12,-0.12,-0.06,7.29,0.07,59.7
30-Nov-87,4.8,-0.07,-0.07,-0.03,6.69,-0.6,60
31-Dec-87,4.81,0,0,0,6.77,0.08,60
29-Jan-88,4.71,-0.02,-0.02,-0.01,6.83,0.06,60.3
29-Feb-88,4.98,0.06,0.06,0.02,6.58,-0.25,60.4
31-Mar-88,5.2,0.04,0.04,0.02,6.58,0,60.7
29-Apr-88,4.96,-0.05,-0.05,-0.02,6.87,0.29,60.7
31-May-88,4.59,-0.07,-0.07,-0.03,7.09,0.22,60.9
30-Jun-88,4.96,0.08,0.08,0.03,7.51,0.42,60.9
29-Jul-88,4.9,-0.01,-0.01,-0.01,7.75,0.24,61.2
31-Aug-88,5.03,0.03,0.03,0.01,8.01,0.26,61
30-Sep-88,5.27,0.05,0.05,0.02,8.19,0.18,61.3
31-Oct-88,5.42,0.03,0.03,0.01,8.3,0.11,61.4
30-Nov-88,5.3,-0.02,-0.02,-0.01,8.35,0.05,61.7
30-Dec-88,5.35,0.01,0.01,0,8.76,0.41,61.9
31-Jan-89,5.4,0.01,0.01,0,9.12,0.36,61.6
28-Feb-89,5.57,0.03,0.03,0.01,9.36,0.24,61.8
31-Mar-89,5.55,0,0,0,9.85,0.49,61.8
28-Apr-89,5.83,0.05,0.05,0.02,9.84,-0.01,61.3
31-May-89,6.12,0.05,0.05,0.02,9.81,-0.03,61.4
30-Jun-89,6.3,0.03,0.03,0.01,9.53,-0.28,60.8
31-Jul-89,6.3,0,0,0,9.24,-0.29,61.4
31-Aug-89,6.44,0.02,0.02,0.01,8.99,-0.25,61.2
29-Sep-89,6.53,0.01,0.01,0.01,9.02,0.03,61.1
31-Oct-89,6.85,0.05,0.05,0.02,8.84,-0.18,61.3
30-Nov-89,6.93,0.01,0.01,0.01,8.55,-0.29,61.7
29-Dec-89,7.21,0.04,0.04,0.02,8.45,-0.1,61.4
31-Jan-90,7.07,-0.02,-0.02,-0.01,8.23,-0.22,61.9
28-Feb-90,6.81,-0.04,-0.04,-0.02,8.24,0.01,62.2
30-Mar-90,6.97,0.02,0.02,0.01,8.28,0.04,62.1
30-Apr-90,7.19,0.03,0.03,0.01,8.26,-0.02,62.2
31-May-90,7.6,0.06,0.06,0.02,8.18,-0.08,62.4
29-Jun-90,8.12,0.07,0.07,0.03,8.29,0.11,62.3
31-Jul-90,8.85,0.09,0.09,0.04,8.15,-0.14,62.5
31-Aug-90,8.22,-0.07,-0.07,-0.03,8.13,-0.02,62.6
28-Sep-90,8,-0.03,-0.03,-0.01,8.2,0.07,62.2
31-Oct-90,8.24,0.03,0.03,0.01,8.11,-0.09,61.4
30-Nov-90,8.29,0.01,0.01,0,7.81,-0.3,61
31-Dec-90,8.87,0.07,0.07,0.03,7.31,-0.5,60.7
31-Jan-91,8.87,0,0,0,6.91,-0.4,60.3
28-Feb-91,9.9,0.12,0.12,0.05,6.25,-0.66,60
29-Mar-91,11.27,0.14,0.14,0.06,6.12,-0.13,60.1
30-Apr-91,12.01,0.07,0.07,0.03,5.91,-0.21,60.7
31-May-91,11.64,-0.03,-0.03,-0.01,5.78,-0.13,61.3
28-Jun-91,10.7,-0.08,-0.08,-0.04,5.9,0.12,61.3
31-Jul-91,10.86,0.02,0.02,0.01,5.82,-0.08,61.4
30-Aug-91,11.41,0.05,0.05,0.02,5.66,-0.16,61.9
30-Sep-91,11.2,-0.02,-0.02,-0.01,5.45,-0.21,61.8
31-Oct-91,11.24,0,0,0,5.21,-0.24,61.7
29-Nov-91,12.01,0.07,0.07,0.03,4.81,-0.4,61.5
31-Dec-91,13.28,0.11,0.11,0.04,4.43,-0.38,61.1
31-Jan-92,13.66,0.03,0.03,0.01,4.03,-0.4,61.6
28-Feb-92,12.9,-0.06,-0.06,-0.02,4.06,0.03,62.1
31-Mar-92,12.12,-0.06,-0.06,-0.03,3.98,-0.08,62.6
30-Apr-92,12.09,0,0,0,3.73,-0.25,62.8
29-May-92,11.89,-0.02,-0.02,-0.01,3.82,0.09,62.8
30-Jun-92,11.21,-0.06,-0.06,-0.03,3.76,-0.06,63.3
31-Jul-92,11.72,0.05,0.05,0.02,3.25,-0.51,63
31-Aug-92,12.43,0.06,0.06,0.03,3.3,0.05,63.1
30-Sep-92,12.64,0.02,0.02,0.01,3.22,-0.08,63.6
30-Oct-92,12.05,-0.05,-0.05,-0.02,3.1,-0.12,63.8
30-Nov-92,12.52,0.04,0.04,0.02,3.09,-0.01,63.9
31-Dec-92,12.87,0.03,0.03,0.01,2.92,-0.17,64.2
29-Jan-93,11.51,-0.11,-0.11,-0.05,3.02,0.1,64.4
26-Feb-93,10.85,-0.06,-0.06,-0.03,3.03,0.01,64.4
31-Mar-93,10.42,-0.04,-0.04,-0.02,3.07,0.04,64.6
30-Apr-93,10.17,-0.02,-0.02,-0.01,2.96,-0.11,64.4
31-May-93,11.07,0.09,0.09,0.04,3,0.04,64.5
30-Jun-93,10.8,-0.02,-0.02,-0.01,3.04,0.04,64.7
30-Jul-93,9.75,-0.1,-0.1,-0.04,3.06,0.02,64.7
31-Aug-93,9.64,-0.01,-0.01,-0.01,3.03,-0.03,65
30-Sep-93,9.81,0.02,0.02,0.01,3.09,0.06,65.5
29-Oct-93,10.19,0.04,0.04,0.02,2.99,-0.1,65.8
30-Nov-93,10.91,0.07,0.07,0.03,3.02,0.03,66.1
31-Dec-93,10.99,0.01,0.01,0,2.96,-0.06,66.4
31-Jan-94,10.84,-0.01,-0.01,-0.01,3.05,0.09,66.4
28-Feb-94,10.4,-0.04,-0.04,-0.02,3.25,0.2,67.1
31-Mar-94,9.82,-0.06,-0.06,-0.03,3.34,0.09,67.4
29-Apr-94,9.81,0,0,0,3.56,0.22,67.8
31-May-94,10.68,0.09,0.09,0.04,4.01,0.45,68.2
30-Jun-94,10.86,0.02,0.02,0.01,4.25,0.24,68.4
29-Jul-94,11.08,0.02,0.02,0.01,4.26,0.01,68.7
31-Aug-94,12.16,0.1,0.1,0.04,4.47,0.21,68.9
30-Sep-94,12.48,0.03,0.03,0.01,4.73,0.26,69.5
31-Oct-94,13.23,0.06,0.06,0.03,4.76,0.03,69.9
30-Nov-94,13.51,0.02,0.02,0.01,5.29,0.53,70.7
30-Dec-94,13.56,0,0,0,5.45,0.16,70.9
31-Jan-95,13.8,0.02,0.02,0.01,5.53,0.08,70.9
28-Feb-95,14.22,0.03,0.03,0.01,5.92,0.39,71
31-Mar-95,15.03,0.06,0.06,0.02,5.98,0.06,70.9
28-Apr-95,15.41,0.03,0.03,0.01,6.05,0.07,71.1
31-May-95,16.23,0.05,0.05,0.02,6.01,-0.04,71.3
30-Jun-95,16.96,0.04,0.04,0.02,6,-0.01,71
31-Jul-95,17.08,0.01,0.01,0,5.85,-0.15,72
31-Aug-95,17.28,0.01,0.01,0.01,5.74,-0.11,72.3
29-Sep-95,17.91,0.04,0.04,0.02,5.8,0.06,72.1
31-Oct-95,19.56,0.09,0.09,0.04,5.76,-0.04,72.3
30-Nov-95,20.81,0.06,0.06,0.03,5.8,0.04,72.6
29-Dec-95,22.15,0.06,0.06,0.03,5.6,-0.2,72.2
31-Jan-96,22.17,0,0,0,5.56,-0.04,73.3
29-Feb-96,23.95,0.08,0.08,0.03,5.22,-0.34,73.2
29-Mar-96,23.6,-0.01,-0.01,-0.01,5.31,0.09,73.8
30-Apr-96,22.78,-0.03,-0.03,-0.02,5.22,-0.09,74.3
31-May-96,23.45,0.03,0.03,0.01,5.24,0.02,74.9
28-Jun-96,24.48,0.04,0.04,0.02,5.27,0.03,74.8
31-Jul-96,24.05,-0.02,-0.02,-0.01,5.4,0.13,75.3
30-Aug-96,25.6,0.06,0.06,0.03,5.22,-0.18,75.8
30-Sep-96,24.99,-0.02,-0.02,-0.01,5.3,0.08,75.7
31-Oct-96,25.24,0.01,0.01,0,5.24,-0.06,76.4
29-Nov-96,25.75,0.02,0.02,0.01,5.31,0.07,76.9
31-Dec-96,25.37,-0.01,-0.01,-0.01,5.29,-0.02,77
31-Jan-97,26.44,0.04,0.04,0.02,5.25,-0.04,77.9
28-Feb-97,29.87,0.13,0.13,0.05,5.19,-0.06,78.5
31-Mar-97,28.99,-0.03,-0.03,-0.01,5.39,0.2,78.5
30-Apr-97,28.04,-0.03,-0.03,-0.01,5.51,0.12,79
30-May-97,30.28,0.08,0.08,0.03,5.5,-0.01,79.4
30-Jun-97,31.71,0.05,0.05,0.02,5.56,0.06,79.9
31-Jul-97,31.24,-0.01,-0.01,-0.01,5.52,-0.04,80.9
29-Aug-97,29.39,-0.06,-0.06,-0.03,5.54,0.02,81.7
30-Sep-97,29,-0.01,-0.01,-0.01,5.54,0,82.2
31-Oct-97,29.44,0.01,0.01,0.01,5.5,-0.04,82.9
28-Nov-97,30.87,0.05,0.05,0.02,5.52,0.02,83.2
31-Dec-97,32.7,0.06,0.06,0.03,5.5,-0.02,83.6
30-Jan-98,33.19,0.01,0.01,0.01,5.56,0.06,83.7
27-Feb-98,35.33,0.06,0.06,0.03,5.5,-0.06,83.8
31-Mar-98,37.07,0.05,0.05,0.02,5.49,-0.01,84.1
30-Apr-98,36.22,-0.02,-0.02,-0.01,5.45,-0.04,84.7
29-May-98,35.25,-0.03,-0.03,-0.01,5.49,0.04,84.2
30-Jun-98,36.6,0.04,0.04,0.02,5.56,0.07,83.9
31-Jul-98,37.72,0.03,0.03,0.01,5.54,-0.02,85.7
31-Aug-98,37.53,-0.01,0,0,5.55,0.01,85.4
30-Sep-98,38.63,0.03,0.03,0.01,5.51,-0.04,86.1
30-Oct-98,40.01,0.04,0.04,0.02,5.07,-0.44,86
30-Nov-98,41.93,0.05,0.05,0.02,4.83,-0.24,86.2
31-Dec-98,40.15,-0.04,-0.04,-0.02,4.68,-0.15,86.7
29-Jan-99,40.72,0.01,0.01,0.01,4.63,-0.05,87
26-Feb-99,42.5,0.04,0.04,0.02,4.76,0.13,87.2
31-Mar-99,44.83,0.05,0.05,0.02,4.81,0.05,87.4
30-Apr-99,48.6,0.08,0.08,0.04,4.74,-0.07,88.1
31-May-99,46.59,-0.04,-0.04,-0.02,4.74,0,87.9
30-Jun-99,46.07,-0.01,-0.01,0,4.76,0.02,88.5
30-Jul-99,48.26,0.05,0.05,0.02,4.99,0.23,88.9
31-Aug-99,48.62,0.01,0.01,0,5.07,0.08,88.6
30-Sep-99,48.18,-0.01,-0.01,0,5.22,0.15,89.7
29-Oct-99,49.51,0.03,0.03,0.01,5.2,-0.02,90.2
30-Nov-99,52.17,0.05,0.05,0.02,5.42,0.22,90.9
31-Dec-99,47.29,-0.09,-0.09,-0.04,5.3,-0.12,91
31-Jan-00,44.92,-0.05,-0.05,-0.02,5.45,0.15,91.3
29-Feb-00,39.25,-0.13,-0.13,-0.06,5.73,0.28,91.7
31-Mar-00,36.85,-0.06,-0.06,-0.03,5.85,0.12,92.2
28-Apr-00,39.35,0.07,0.07,0.03,6.02,0.17,92.4
31-May-00,43.36,0.1,0.1,0.04,6.27,0.25,92.4
30-Jun-00,44.92,0.04,0.04,0.02,6.53,0.26,92.2
31-Jul-00,47.76,0.06,0.06,0.03,6.54,0.01,92
31-Aug-00,48.02,0.01,0.01,0,6.5,-0.04,92.5
29-Sep-00,47.13,-0.02,-0.02,-0.01,6.52,0.02,92.1
31-Oct-00,46.77,-0.01,-0.01,0,6.51,-0.01,92.1
30-Nov-00,47.46,0.01,0.01,0.01,6.51,0,91.7
29-Dec-00,49.79,0.05,0.05,0.02,6.4,-0.11,91.1
31-Jan-01,47.28,-0.05,-0.05,-0.02,5.98,-0.42,90.6
28-Feb-01,47.74,0.01,0.01,0,5.49,-0.49,90.3
30-Mar-01,46.08,-0.03,-0.03,-0.02,5.31,-0.18,90.1
30-Apr-01,45.91,0,0,0,4.8,-0.51,89.5
31-May-01,49.04,0.07,0.07,0.03,4.21,-0.59,88.9
29-Jun-01,51.4,0.05,0.05,0.02,3.97,-0.24,88.5
31-Jul-01,52.93,0.03,0.03,0.01,3.77,-0.2,88.2
31-Aug-01,54.32,0.03,0.03,0.01,3.65,-0.12,87.9
28-Sep-01,54.57,0,0,0,3.07,-0.58,87.5
31-Oct-01,56.87,0.04,0.04,0.02,2.49,-0.58,87
30-Nov-01,59.57,0.05,0.05,0.02,2.09,-0.4,87.1
31-Dec-01,57.59,-0.03,-0.03,-0.01,1.82,-0.27,87.6
31-Jan-02,58.32,0.01,0.01,0.01,1.73,-0.09,87.6
28-Feb-02,57.84,-0.01,-0.01,0,1.74,0.01,88.2
29-Mar-02,63.95,0.11,0.11,0.04,1.73,-0.01,88.6
30-Apr-02,63.41,-0.01,-0.01,0,1.75,0.02,89.1
31-May-02,61.59,-0.03,-0.03,-0.01,1.75,0,89.9
28-Jun-02,56.53,-0.08,-0.08,-0.04,1.75,0,89.6
31-Jul-02,49.88,-0.12,-0.12,-0.05,1.73,-0.02,89.7
30-Aug-02,54.15,0.09,0.09,0.04,1.74,0.01,89.8
30-Sep-02,54.1,0,0,0,1.75,0.01,89.5
31-Oct-02,58.01,0.07,0.07,0.03,1.75,0,89.9
29-Nov-02,59.2,0.02,0.02,0.01,1.34,-0.41,89.5
31-Dec-02,54.89,-0.07,-0.07,-0.03,1.24,-0.1,90.1
31-Jan-03,54.82,0,0,0,1.24,0,90.4
28-Feb-03,52.24,-0.05,-0.05,-0.02,1.26,0.02,90.3
31-Mar-03,55.65,0.07,0.07,0.03,1.25,-0.01,89.6
30-Apr-03,56.87,0.02,0.02,0.01,1.26,0.01,89.6
30-May-03,55.12,-0.03,-0.03,-0.01,1.26,0,89.6
30-Jun-03,53.16,-0.04,-0.04,-0.02,1.22,-0.04,90
31-Jul-03,52.13,-0.02,-0.02,-0.01,1.01,-0.21,89.9
29-Aug-03,50.34,-0.03,-0.03,-0.02,1.03,0.02,90.4
30-Sep-03,50.53,0,0,0,1.01,-0.02,90.4
31-Oct-03,50.15,-0.01,-0.01,0,1.01,0,91.2
28-Nov-03,50.28,0,0,0,1,-0.01,91.1
31-Dec-03,50.05,0,0,0,0.98,-0.02,91.3
30-Jan-04,52.34,0.05,0.05,0.02,1,0.02,91.8
27-Feb-04,54.05,0.03,0.03,0.01,1.01,0.01,91.3
31-Mar-04,51.29,-0.05,-0.05,-0.02,1,-0.01,91.7
30-Apr-04,52.83,0.03,0.03,0.01,1,0,92.4
31-May-04,54.95,0.04,0.04,0.02,1,0,91.5
30-Jun-04,55.96,0.02,0.02,0.01,1.03,0.03,92.2
30-Jul-04,55.54,-0.01,-0.01,0,1.26,0.23,92.4
31-Aug-04,56.36,0.01,0.01,0.01,1.43,0.17,92.3
30-Sep-04,57.58,0.02,0.02,0.01,1.61,0.18,93.2
29-Oct-04,57.02,-0.01,-0.01,0,1.76,0.15,93.4
30-Nov-04,60.16,0.06,0.05,0.02,1.93,0.17,94.1
31-Dec-04,62.3,0.04,0.04,0.02,2.16,0.23,94.5
31-Jan-05,63.06,0.01,0.01,0.01,2.28,0.12,95.2
28-Feb-05,65.88,0.04,0.04,0.02,2.5,0.22,95.1
31-Mar-05,67.54,0.03,0.03,0.01,2.63,0.13,95.2
29-Apr-05,68.55,0.01,0.01,0.01,2.79,0.16,95.4
31-May-05,67.77,-0.01,-0.01,0,3,0.21,95.7
30-Jun-05,66.27,-0.02,-0.02,-0.01,3.04,0.04,95.6
29-Jul-05,64.39,-0.03,-0.03,-0.01,3.26,0.22,95.7
31-Aug-05,63.52,-0.01,-0.01,-0.01,3.5,0.24,93.8
30-Sep-05,64.1,0.01,0.01,0,3.62,0.12,94.8
31-Oct-05,62.81,-0.02,-0.02,-0.01,3.78,0.16,95.8
30-Nov-05,61.76,-0.02,-0.02,-0.01,4,0.22,96.4
30-Dec-05,60.6,-0.02,-0.02,-0.01,4.16,0.16,96.4
31-Jan-06,61.03,0.01,0.01,0,4.29,0.13,96.5
28-Feb-06,58.26,-0.05,-0.05,-0.02,4.49,0.2,96.7
31-Mar-06,59.32,0.02,0.02,0.01,4.59,0.1,97.1
28-Apr-06,58.25,-0.02,-0.02,-0.01,4.79,0.2,97
31-May-06,59.45,0.02,0.02,0.01,4.94,0.15,97.4
30-Jun-06,60.88,0.02,0.02,0.01,4.99,0.05,97.7
31-Jul-06,61.21,0.01,0.01,0,5.24,0.25,97.9
31-Aug-06,63.99,0.05,0.05,0.02,5.25,0.01,97.8
29-Sep-06,64.17,0,0,0,5.25,0,97.8
31-Oct-06,66.62,0.04,0.04,0.02,5.25,0,97.6
30-Nov-06,66.82,0,0,0,5.25,0,98.7
29-Dec-06,66.07,-0.01,-0.01,0,5.24,-0.01,98.3
31-Jan-07,66.71,0.01,0.01,0,5.25,0.01,99.4
28-Feb-07,65.31,-0.02,-0.02,-0.01,5.26,0.01,99.5
30-Mar-07,61.06,-0.07,-0.06,-0.03,5.26,0,100.2
30-Apr-07,63.08,0.03,0.03,0.01,5.25,-0.01,100.2
31-May-07,63.43,0.01,0.01,0,5.25,0,100.1
29-Jun-07,62.18,-0.02,-0.02,-0.01,5.25,0,100.3
31-Jul-07,62,0,0,0,5.26,0.01,100.3
31-Aug-07,61.59,-0.01,-0.01,0,5.02,-0.24,100.7
28-Sep-07,63.56,0.03,0.03,0.01,4.94,-0.08,100
31-Oct-07,65.3,0.03,0.03,0.01,4.76,-0.18,100.4
30-Nov-07,66.48,0.02,0.02,0.01,4.49,-0.27,100.5
31-Dec-07,67.66,0.02,0.02,0.01,4.24,-0.25,100.1
31-Jan-08,65.73,-0.03,-0.03,-0.01,3.94,-0.3,99.9
29-Feb-08,62.99,-0.04,-0.04,-0.02,2.98,-0.96,99.6
31-Mar-08,63.57,0.01,0.01,0,2.61,-0.37,98.8
30-Apr-08,66.34,0.04,0.04,0.02,2.28,-0.33,98.3
30-May-08,66.53,0,0,0,1.99,-0.29,98
30-Jun-08,65.33,-0.02,-0.02,-0.01,2,0.01,98
31-Jul-08,67.17,0.03,0.03,0.01,2.01,0.01,96.8
29-Aug-08,70.88,0.06,0.06,0.02,2,-0.01,93
30-Sep-08,70.01,-0.01,-0.01,-0.01,1.81,-0.19,93.9
31-Oct-08,62.54,-0.11,-0.11,-0.05,0.97,-0.84,92.9
28-Nov-08,59.4,-0.05,-0.05,-0.02,0.39,-0.58,91
31-Dec-08,58.17,-0.02,-0.02,-0.01,0.16,-0.23,89.1
30-Jan-09,58.12,0,0,0,0.15,-0.01,88.5
27-Feb-09,56.07,-0.04,-0.04,-0.02,0.22,0.07,87.2
31-Mar-09,50.27,-0.1,-0.1,-0.05,0.18,-0.04,86.5
30-Apr-09,51.78,0.03,0.03,0.01,0.15,-0.03,85.7
29-May-09,54.81,0.06,0.06,0.02,0.18,0.03,85.5
30-Jun-09,55.82,0.02,0.02,0.01,0.21,0.03,86.7
31-Jul-09,58.89,0.05,0.05,0.02,0.16,-0.05,87.8
31-Aug-09,60.51,0.03,0.03,0.01,0.16,0,88.4
30-Sep-09,60.55,0,0,0,0.15,-0.01,88.6
30-Oct-09,60.48,0,0,0,0.12,-0.03,89.1
30-Nov-09,61.5,0.02,0.02,0.01,0.12,0,89.6
31-Dec-09,64.51,0.05,0.05,0.02,0.12,0,90.5
